vendor_id,vendor_name,field_name,field_shape,bottom,left,right,top,doc_id,submitted_on,status,submitted_On
27AAACP4156B1ZS,PIDILITE INDUSTRIES LIMITED,invoiceDate,dd/dd/dddd,289.0,1047.0,1233.0,253.0,c7079cae-593a-4c6e-9843-f42d5f8cffd4,,1,
33ABECS7694E1Z3,SYMBIATE VENTURES PRIVATE LIMITED,invoiceNumber,dd-dd/dddd,665.0,726.0,904.0,623.0,9aa3bc95-5686-4f1a-878f-c891ce5e856e,,1,
33ABECS7694E1Z3,SYMBIATE VENTURES PRIVATE LIMITED,invoiceDate,dd/dd/dddd,713.0,724.0,914.0,668.0,9aa3bc95-5686-4f1a-878f-c891ce5e856e,,1,
27AAUFP8143M1ZC,PRASANA FOODS,invoiceNumber,XXddddddd,374.0,1815.0,1996.0,334.0,22eb231b-a67d-46ef-bc23-cc4e57931f28,,1,
27AAUFP8143M1ZC,PRASANA FOODS,invoiceDate,dd/dd/dddd,374.0,2176.0,2353.0,334.0,22eb231b-a67d-46ef-bc23-cc4e57931f28,,1,
27BHNPB5377A1ZG,SURYAVANSHI ENTERPRISES,invoiceNumber,XXddddddddd,401.0,711.0,936.0,370.0,d0d5d6ee-3f71-4c2c-a4f7-456d7492e1e4,,1,
27BHNPB5377A1ZG,SURYAVANSHI ENTERPRISES,invoiceDate,dd/dd/dddd,453.0,715.0,900.0,422.0,d0d5d6ee-3f71-4c2c-a4f7-456d7492e1e4,,1,
27BHLPM2626M1ZW,GIRIRAJ ENTERPRISES,invoiceNumber,XXX-XXX-ddd,550.0,714.0,922.0,509.0,46a2e930-f62a-4837-9d2d-ebdf2e9f35e4,,1,
27BHLPM2626M1ZW,GIRIRAJ ENTERPRISES,invoiceDate,dd/dd/dddd,598.0,716.0,904.0,554.0,46a2e930-f62a-4837-9d2d-ebdf2e9f35e4,,1,
27AAWFK7350B1Z3,KINGS COLD STORAGE,invoiceNumber,dd/d/dddd,520.0,1763.0,1962.0,476.0,154ab776-6a90-4f7f-b0a3-e3000de16f86,,1,
36AAFCD3317F1ZZ,DELIGHTFUL GOURMET PVT LTD,invoiceNumber,XXXXXXdddd-ddddd,239.0,1449.0,1806.0,200.0,1d94cd19-ab9b-4b88-9b9f-1834376a9a33,10-08-2022,1,
36AAFCD3317F1ZZ,DELIGHTFUL GOURMET PVT LTD,invoiceDate,dd/dd/dddd,237.0,1889.0,2070.0,198.0,1d94cd19-ab9b-4b88-9b9f-1834376a9a33,10-08-2022,1,
36AAFCD3317F1ZZ,DELIGHTFUL GOURMET PVT LTD,invoiceNumber,XXXXXXdddd-ddddd,239.0,1449.0,1806.0,200.0,55d25bcf-d1e9-40fe-adba-f6ff69d37ef3,10-08-2022,1,
27AYAPS4400N1Z9,S S MARKETING,invoiceNumber,XX-dd/dd-X-dddd,329.0,1478.0,1791.0,288.0,c02427f6-13e2-4bbe-999d-13f9d77420f3,09-08-2022,1,
27AYAPS4400N1Z9,S S MARKETING,invoiceDate,dd/dd/dddd,316.0,1924.0,2100.0,277.0,c02427f6-13e2-4bbe-999d-13f9d77420f3,09-08-2022,1,
27AAPCM3737Q1ZK,MD FOOD PRODUCT PRIVATE LIMITED,invoiceNumber,ddd,227.0,401.0,467.0,184.0,2d16e6c9-c530-4981-90cd-bf08a67dc41a,09-08-2022,1,
27AAPCM3737Q1ZK,MD FOOD PRODUCT PRIVATE LIMITED,invoiceDate,dd/dd/dddd,227.0,2173.0,2350.0,181.0,2d16e6c9-c530-4981-90cd-bf08a67dc41a,09-08-2022,1,
27AYAPS4400N1Z9,S S MARKETING,invoiceNumber,XX-dd/dd-X-dddd,315.0,1369.0,1677.0,273.0,db056ee3-1c14-4361-ba5d-5b4db8c1ca9c,09-08-2022,1,
27AYAPS4400N1Z9,S S MARKETING,invoiceDate,dd/dd/dddd,312.0,1839.0,2027.0,265.0,db056ee3-1c14-4361-ba5d-5b4db8c1ca9c,09-08-2022,1,
27AAPCM3737Q1ZK,MD FOOD PRODUCT PRIVATE LIMITED,invoiceNumber,dd/dd/dddd,186.0,398.0,465.0,147.0,f795e374-f13a-40dd-93a2-0410d0bc417e,09-08-2022,1,
27AAGCK9122N1Z2,KALAMKAR EXOTICS PRIVATE LIMITED,invoiceNumber,dddd,232.0,1432.0,1523.0,193.0,09c53c00-a3a5-46b2-8494-3ff237dd314b,09-08-2022,1,
27AAGCK9122N1Z2,KALAMKAR EXOTICS PRIVATE LIMITED,invoiceDate,dd/dd/dddd,405.0,1722.0,1872.0,362.0,09c53c00-a3a5-46b2-8494-3ff237dd314b,09-08-2022,1,
27AAFCI6538K1Z5,INFIFRESH FOODS PRIVATE LIMITED,invoiceNumber,XX/dd/ddddddddd,256.0,2013.0,2339.0,211.0,b21bcc46-affa-41ff-933f-8d2a7e0eb321,09-08-2022,1,
27AAFCI6538K1Z5,INFIFRESH FOODS PRIVATE LIMITED,invoiceDate,dd/dd/dddd,692.0,2013.0,2263.0,650.0,b21bcc46-affa-41ff-933f-8d2a7e0eb321,09-08-2022,1,
27AQFPM2776A1ZY,AAYOG TRADERS,invoiceNumber,XXXddddd,249.0,1928.0,2066.0,213.0,eb5506a9-32a1-44f7-a771-13eb886ddc9f,09-08-2022,1,
27AQFPM2776A1ZY,AAYOG TRADERS,invoiceDate,dd/dd/dddd,299.0,1933.0,2085.0,265.0,eb5506a9-32a1-44f7-a771-13eb886ddc9f,09-08-2022,1,
27BSXPS9318H1ZR,NOBLE MARKETING,invoiceNumber,ddddd,423.0,369.0,453.0,395.0,8ee83d65-6109-455c-9e66-91fcabebc6d5,09-08-2022,1,
27BSXPS9318H1ZR,NOBLE MARKETING,invoiceDate,dd/dd/dddd,456.0,288.0,421.0,431.0,8ee83d65-6109-455c-9e66-91fcabebc6d5,09-08-2022,1,
27ABQFA0145D1ZQ,A K SUPPLIERS,invoiceDate,dd/dd/dddd,409.0,1699.0,1775.0,370.0,0ad8fbbf-5e96-4732-97b9-a7de3a70767c,09-08-2022,1,
27AAFCI6538K1Z5,INFIFRESH FOODS PRIVATE LIMITED,invoiceNumber,XX/dd/ddddddddd,278.0,1956.0,2281.0,231.0,cc5d73a4-32d4-4cf1-b641-1ac1e114c330,09-08-2022,1,
27AAFCI6538K1Z5,INFIFRESH FOODS PRIVATE LIMITED,invoiceDate,dd/dd/dddd,708.0,1958.0,2204.0,657.0,cc5d73a4-32d4-4cf1-b641-1ac1e114c330,09-08-2022,1,
27AASCA4550E1ZL,ALPHABULK SUPPLY SOLUTIONS PRIVATE LIMITED,invoiceNumber,dd/d/dd,986.0,1606.0,1828.0,945.0,0cf4f0ed-3e59-4df3-8e60-40243dc00bac,09-08-2022,1,
27AQFPM2776A1ZY,AAYOG TRADERS,invoiceDate,dd/dd/dddd,369.0,1994.0,2152.0,331.0,07427ec5-7e85-4672-92f3-a5976c049633,09-08-2022,1,
27AASCA4550E1ZL,ALPHABULK SUPPLY SOLUTIONS PRIVATE LIMITED,invoiceNumber,dd/dd/dddd,1013.0,1635.0,1848.0,981.0,c2623857-6d30-4094-be27-58c1f6630d99,09-08-2022,1,
27AAKCM0642F1ZM,MEAT AND SPICE PRIVATE LIMITED,invoiceNumber,XXXXXdddd/ddddd,789.0,1359.0,1681.0,757.0,09c58209-2e72-46b8-a005-7ae5396ba486,09-08-2022,1,
27AAKCM0642F1ZM,MEAT AND SPICE PRIVATE LIMITED,invoiceDate,dd/dd/dddd,791.0,1847.0,2065.0,753.0,09c58209-2e72-46b8-a005-7ae5396ba486,09-08-2022,1,
27ANHPB9781F2ZR,KETAN ENTERPRISES,invoiceNumber,dddddd,277.0,689.0,777.0,250.0,ee883c87-1e04-48aa-adb2-7a7452ca8512,09-08-2022,1,
27ANHPB9781F2ZR,KETAN ENTERPRISES,invoiceDate,dd/dd/dddd,286.0,1694.0,1827.0,244.0,ee883c87-1e04-48aa-adb2-7a7452ca8512,09-08-2022,1,
27AAICM3930G1ZH,ID FRESH FOOD INDIA PRIVATE LIMITED,invoiceNumber,dddddddddddd,574.0,812.0,982.0,545.0,c8dddbef-fb74-4c13-9c5a-1a86d56cd414,09-08-2022,1,
27AAICM3930G1ZH,ID FRESH FOOD INDIA PRIVATE LIMITED,invoiceDate,dd/dd/dddd,486.0,810.0,944.0,460.0,c8dddbef-fb74-4c13-9c5a-1a86d56cd414,09-08-2022,1,
27AAICM3930G1ZH,ID FRESH FOOD INDIA PRIVATE LIMITED,invoiceNumber,dddddddddddd,639.0,833.0,1006.0,611.0,3e606bd7-078d-4dfd-b101-2c27c65da305,09-08-2022,1,
27AAICM3930G1ZH,ID FRESH FOOD INDIA PRIVATE LIMITED,invoiceDate,dd/dd/dddd,551.0,833.0,962.0,525.0,3e606bd7-078d-4dfd-b101-2c27c65da305,09-08-2022,1,
27AAICK0704C1Z1,KISANKONNECT SAFE FOOD PRIVATE LIMITED,invoiceNumber,XXXX/dd-dd/ddd,514.0,4476.0,5269.0,410.0,63e1d5ae-7e70-461a-af0f-40f012034387,09-08-2022,1,
27AAICK0704C1Z1,KISANKONNECT SAFE FOOD PRIVATE LIMITED,invoiceDate,dd/dd/dddd,511.0,5519.0,6160.0,404.0,63e1d5ae-7e70-461a-af0f-40f012034387,09-08-2022,1,
27ANHPB9781F2ZR,KETAN ENTERPRISES,invoiceDate,dd/dd/dddd,481.0,1860.0,1992.0,445.0,b634bb27-4ec6-4f87-b3c5-32cbe6e4d0e8,09-08-2022,1,
27AAKCM0642F1ZM,MEAT AND SPICE PRIVATE LIMITED,invoiceNumber,XXXXXdddd/ddddd,791.0,1346.0,1686.0,749.0,653dcf8f-8edd-4544-93fe-d9c326dd9487,09-08-2022,1,
27AAKCM0642F1ZM,MEAT AND SPICE PRIVATE LIMITED,invoiceDate,dd/dd/dddd,789.0,1859.0,2067.0,755.0,653dcf8f-8edd-4544-93fe-d9c326dd9487,09-08-2022,1,
27AAICK0704C1Z1,KISANKONNECT SAFE FOOD PRIVATE LIMITED,invoiceNumber,XXXX/dd-dd/ddd,194.0,1688.0,1965.0,154.0,490fdbfd-f534-4bb1-aa69-afe63250208d,09-08-2022,1,
27AAICK0704C1Z1,KISANKONNECT SAFE FOOD PRIVATE LIMITED,invoiceDate,dd/dd/dddd,192.0,2056.0,2284.0,157.0,490fdbfd-f534-4bb1-aa69-afe63250208d,09-08-2022,1,
27AAGOK0122N122,,invoiceNumber,dddd,315.0,1530.0,1613.0,282.0,e00d7dff-5598-4487-990c-b4b33f29bfab,09-08-2022,1,
27AAGOK0122N122,,invoiceDate,dd/dd/dddd,299.0,1980.0,2169.0,264.0,e00d7dff-5598-4487-990c-b4b33f29bfab,09-08-2022,1,
27AAAFZ5877G1ZO,ZORABIAN FOODS,invoiceNumber,Xdddd/dd-dd,492.0,1562.0,1799.0,458.0,51a45deb-3979-4b51-b4a9-abdb47a960ca,09-08-2022,1,
27AAAFZ5877G1ZO,ZORABIAN FOODS,invoiceDate,dd/dd/dddd,490.0,1989.0,2184.0,456.0,51a45deb-3979-4b51-b4a9-abdb47a960ca,09-08-2022,1,
27AAAFZ5877G1ZO,ZORABIAN FOODS,invoiceNumber,XXdddd/dd-dd,492.0,1496.0,1767.0,461.0,9c858890-fb59-4b31-a88c-5375453c4017,09-08-2022,1,
27AAAFZ5877G1ZO,ZORABIAN FOODS,invoiceDate,dd/dd/dddd,498.0,1930.0,2125.0,457.0,9c858890-fb59-4b31-a88c-5375453c4017,09-08-2022,1,
27AAFCI4137C1ZV,M/S IKS FARMERS PRODUCER COMPANY LIMITED,invoiceNumber,ddd,567.0,1212.0,1290.0,528.0,d11f0c42-765a-4def-8c49-97416bfe7080,09-08-2022,1,
27AAFCI4137C1ZV,M/S IKS FARMERS PRODUCER COMPANY LIMITED,invoiceDate,dd/dd/dddd,567.0,1662.0,1834.0,524.0,d11f0c42-765a-4def-8c49-97416bfe7080,09-08-2022,1,
27AHIPG2934L1Z5,MAA VAISHNO ENTERPRISES,invoiceDate,dd/dd/dddd,846.0,5808.0,6435.0,732.0,9367448e-ccbe-46c9-90ae-6563c9c2321b,09-08-2022,1,
27AHIPG2934L1Z5,MAA VAISHNO ENTERPRISES,invoiceDate,dd/dd/dddd,289.0,2115.0,2347.0,244.0,c26d23b1-1593-4ef7-88a2-b1ed0f0b115e,09-08-2022,1,
27AAYCS8568C1ZJ,SPOTTED COW FROMAGERIE PRIVATE LIMITED,invoiceDate,dd/dd/dddd,681.0,223.0,388.0,644.0,85b53126-1d7c-429e-841a-8409255b5e5a,09-08-2022,1,
27BSXPS9318H1ZR,NOBLE MARKETING,invoiceNumber,ddddd,477.0,347.0,438.0,436.0,5a499e30-c522-45ff-8e12-f04608a3ba6e,09-08-2022,1,
27BSXPS9318H1ZR,NOBLE MARKETING,invoiceDate,dd/dd/dddd,507.0,263.0,408.0,463.0,5a499e30-c522-45ff-8e12-f04608a3ba6e,09-08-2022,1,
27AAFCN4252K1Z9,NUTRI BEING PRIVATE LIMITED,invoiceNumber,dddd/dddd-dd,316.0,1069.0,1291.0,275.0,d17df9c2-bbdb-4088-af87-5583857fef42,09-08-2022,1,
27AAFCN4252K1Z9,NUTRI BEING PRIVATE LIMITED,invoiceDate,dd/dd/dddd,311.0,1480.0,1701.0,265.0,d17df9c2-bbdb-4088-af87-5583857fef42,09-08-2022,1,
27AAFCN4252K1Z9,NUTRI BEING PRIVATE LIMITED,invoiceNumber,dddd/dddd-dd,337.0,983.0,1197.0,296.0,1b85c8b0-4422-44d0-940f-529cd1acb722,09-08-2022,1,
27AAFCN4252K1Z9,NUTRI BEING PRIVATE LIMITED,invoiceDate,dd/dd/dddd,331.0,1379.0,1584.0,285.0,1b85c8b0-4422-44d0-940f-529cd1acb722,09-08-2022,1,
27AAJCC0510B1ZE,CERES FOODS PRIVATE LIMITED,invoiceNumber,XXXXXXX/dd/dd-dd,248.0,1149.0,1497.0,207.0,954a400f-0b91-4453-b5c2-1394bf10522e,09-08-2022,1,
27AAJCC0510B1ZE,CERES FOODS PRIVATE LIMITED,invoiceDate,dd/dd/dddd,244.0,1563.0,1745.0,206.0,954a400f-0b91-4453-b5c2-1394bf10522e,09-08-2022,1,
27AOSPS8142M1ZY,OMKAR ENTERPRISES,invoiceNumber,XX/dd-dd/dddd,189.0,1306.0,1584.0,148.0,eaa429c7-2ead-43c9-a6f5-6b0b87bb9cf8,09-08-2022,1,
27AOSPS8142M1ZY,OMKAR ENTERPRISES,invoiceDate,dd/dd/dddd,177.0,1794.0,2007.0,136.0,eaa429c7-2ead-43c9-a6f5-6b0b87bb9cf8,09-08-2022,1,
27AAJCC0510B1ZE,CERES FOODS PRIVATE LIMITED,invoiceNumber,XXXXXXX/dd/dd-dd,245.0,1149.0,1500.0,206.0,ccb18ce8-dcfa-446c-b8ee-30c868e37582,09-08-2022,1,
27AAJCC0510B1ZE,CERES FOODS PRIVATE LIMITED,invoiceDate,dd/dd/dddd,245.0,1563.0,1745.0,208.0,ccb18ce8-dcfa-446c-b8ee-30c868e37582,09-08-2022,1,
27AAPCA5954P1ZR,APOLLO PHARMACIES LIMITED,invoiceNumber,dd/d/dd,1698.0,905.0,1249.0,1657.0,bbec8499-7c9d-40d8-b177-553d034c0e82,09-08-2022,1,
27ACTPS9813Q1ZA,SPICEMIX FOODS,invoiceNumber,dd/dd/dddd,819.0,414.0,459.0,772.0,8aa0e701-dead-4334-83e7-d40994c3a406,09-08-2022,1,
27AENFS7064K1ZA,STARLIGHT BAKERY AND CAFE LLP,invoiceNumber,XX/ddddd/dd-dd,548.0,557.0,844.0,505.0,0ed8bb28-efed-49ef-8679-75e3538b03ca,09-08-2022,1,
27AENFS7064K1ZA,STARLIGHT BAKERY AND CAFE LLP,invoiceDate,dd/dd/dddd,588.0,562.0,723.0,550.0,0ed8bb28-efed-49ef-8679-75e3538b03ca,09-08-2022,1,
27AAFCI7848L1ZW,IMAGINE FOODS PRIVATE LIMITED,invoiceNumber,dddd/dddd-dd,253.0,1243.0,1496.0,213.0,f8989bc1-764c-4df6-964d-dbcaa95934b3,09-08-2022,1,
27ACTPS9813Q1ZA,SPICEMIX FOODS,invoiceNumber,dd,814.0,414.0,461.0,773.0,fb1fc8c6-311c-4532-8ac9-a154f12f871a,09-08-2022,1,
27ACTPS9813Q1ZA,SPICEMIX FOODS,invoiceDate,dd/dd/dddd,814.0,1245.0,1442.0,770.0,fb1fc8c6-311c-4532-8ac9-a154f12f871a,09-08-2022,1,
27AAPCA5954P1ZR,APOLLO PHARMACIES LIMITED,invoiceNumber,dd/dd/dddd,1591.0,880.0,1223.0,1547.0,2b75ea66-933f-4639-ba18-e1e69e693beb,09-08-2022,1,
36AAFCD3317F1ZZ,DELIGHTFUL GOURMET PVT LTD,invoiceNumber,XXXXXXdddd-ddddd,239.0,1449.0,1806.0,200.0,1d94cd19-ab9b-4b88-9b9f-1834376a9a33,10-08-2022,1,
36AAFCD3317F1ZZ,DELIGHTFUL GOURMET PVT LTD,invoiceDate,dd/dd/dddd,237.0,1889.0,2070.0,198.0,1d94cd19-ab9b-4b88-9b9f-1834376a9a33,10-08-2022,1,
,,invoiceNumber,dddd,338.0,1677.0,1810.0,263.0,90f84448-0112-4a0d-9087-31f1ffe11604,09-08-2022,1,
,,invoiceDate,dd/dd/dddd,412.0,1679.0,1927.0,342.0,90f84448-0112-4a0d-9087-31f1ffe11604,09-08-2022,1,
27ARNPD8588L1ZW,JAY ENTERPRISES,invoiceDate,dd/dd/dddd,410.0,1684.0,1930.0,346.0,8cc130cc-f82c-47e1-9e4e-a440fec7cc9d,09-08-2022,1,
27AYAPS4400N1Z9,S S MARKETING,invoiceNumber,XX-dd/dd-X-dddd,329.0,1478.0,1791.0,288.0,c02427f6-13e2-4bbe-999d-13f9d77420f3,09-08-2022,1,
27AYAPS4400N1Z9,S S MARKETING,invoiceDate,dd/dd/dddd,316.0,1924.0,2100.0,277.0,c02427f6-13e2-4bbe-999d-13f9d77420f3,09-08-2022,1,
27AAPCM3737Q1ZK,MD FOOD PRODUCT PRIVATE LIMITED,invoiceNumber,ddd,227.0,401.0,467.0,184.0,2d16e6c9-c530-4981-90cd-bf08a67dc41a,09-08-2022,1,
27AAPCM3737Q1ZK,MD FOOD PRODUCT PRIVATE LIMITED,invoiceDate,dd/dd/dddd,227.0,2173.0,2350.0,181.0,2d16e6c9-c530-4981-90cd-bf08a67dc41a,09-08-2022,1,
27AYAPS4400N1Z9,S S MARKETING,invoiceNumber,XX-dd/dd-X-dddd,315.0,1369.0,1677.0,273.0,db056ee3-1c14-4361-ba5d-5b4db8c1ca9c,09-08-2022,1,
27AYAPS4400N1Z9,S S MARKETING,invoiceDate,dd/dd/dddd,312.0,1839.0,2027.0,265.0,db056ee3-1c14-4361-ba5d-5b4db8c1ca9c,09-08-2022,1,
27AAPCM3737Q1ZK,MD FOOD PRODUCT PRIVATE LIMITED,invoiceNumber,dd/dd/dddd,186.0,398.0,465.0,147.0,f795e374-f13a-40dd-93a2-0410d0bc417e,09-08-2022,1,
27AAGCK9122N1Z2,KALAMKAR EXOTICS PRIVATE LIMITED,invoiceNumber,dddd,232.0,1432.0,1523.0,193.0,09c53c00-a3a5-46b2-8494-3ff237dd314b,09-08-2022,1,
27AAGCK9122N1Z2,KALAMKAR EXOTICS PRIVATE LIMITED,invoiceDate,dd/dd/dddd,405.0,1722.0,1872.0,362.0,09c53c00-a3a5-46b2-8494-3ff237dd314b,09-08-2022,1,
27AQFPM2776A1ZY,AAYOG TRADERS,invoiceNumber,XXXddddd,249.0,1928.0,2066.0,213.0,eb5506a9-32a1-44f7-a771-13eb886ddc9f,09-08-2022,1,
27AQFPM2776A1ZY,AAYOG TRADERS,invoiceDate,dd/dd/dddd,299.0,1933.0,2085.0,265.0,eb5506a9-32a1-44f7-a771-13eb886ddc9f,09-08-2022,1,
27BSXPS9318H1ZR,NOBLE MARKETING,invoiceNumber,ddddd,423.0,369.0,453.0,395.0,8ee83d65-6109-455c-9e66-91fcabebc6d5,09-08-2022,1,
27BSXPS9318H1ZR,NOBLE MARKETING,invoiceDate,dd/dd/dddd,456.0,288.0,421.0,431.0,8ee83d65-6109-455c-9e66-91fcabebc6d5,09-08-2022,1,
27ABQFA0145D1ZQ,A K SUPPLIERS,invoiceDate,dd/dd/dddd,409.0,1699.0,1775.0,370.0,0ad8fbbf-5e96-4732-97b9-a7de3a70767c,09-08-2022,1,
27AASCA4550E1ZL,ALPHABULK SUPPLY SOLUTIONS PRIVATE LIMITED,invoiceNumber,dd/d/dd,986.0,1606.0,1828.0,945.0,0cf4f0ed-3e59-4df3-8e60-40243dc00bac,09-08-2022,1,
27AQFPM2776A1ZY,AAYOG TRADERS,invoiceDate,dd/dd/dddd,369.0,1994.0,2152.0,331.0,07427ec5-7e85-4672-92f3-a5976c049633,09-08-2022,1,
27AASCA4550E1ZL,ALPHABULK SUPPLY SOLUTIONS PRIVATE LIMITED,invoiceNumber,dd/dd/dddd,1013.0,1635.0,1848.0,981.0,c2623857-6d30-4094-be27-58c1f6630d99,09-08-2022,1,
27AAKCM0642F1ZM,MEAT AND SPICE PRIVATE LIMITED,invoiceNumber,XXXXXdddd/ddddd,789.0,1359.0,1681.0,757.0,09c58209-2e72-46b8-a005-7ae5396ba486,09-08-2022,1,
27AAKCM0642F1ZM,MEAT AND SPICE PRIVATE LIMITED,invoiceDate,dd/dd/dddd,791.0,1847.0,2065.0,753.0,09c58209-2e72-46b8-a005-7ae5396ba486,09-08-2022,1,
27ANHPB9781F2ZR,KETAN ENTERPRISES,invoiceNumber,dddddd,277.0,689.0,777.0,250.0,ee883c87-1e04-48aa-adb2-7a7452ca8512,09-08-2022,1,
27ANHPB9781F2ZR,KETAN ENTERPRISES,invoiceDate,dd/dd/dddd,286.0,1694.0,1827.0,244.0,ee883c87-1e04-48aa-adb2-7a7452ca8512,09-08-2022,1,
27AAICM3930G1ZH,ID FRESH FOOD INDIA PRIVATE LIMITED,invoiceNumber,dddddddddddd,574.0,812.0,982.0,545.0,c8dddbef-fb74-4c13-9c5a-1a86d56cd414,09-08-2022,1,
27AAICM3930G1ZH,ID FRESH FOOD INDIA PRIVATE LIMITED,invoiceDate,dd/dd/dddd,486.0,810.0,944.0,460.0,c8dddbef-fb74-4c13-9c5a-1a86d56cd414,09-08-2022,1,
27AAICM3930G1ZH,ID FRESH FOOD INDIA PRIVATE LIMITED,invoiceNumber,dddddddddddd,639.0,833.0,1006.0,611.0,3e606bd7-078d-4dfd-b101-2c27c65da305,09-08-2022,1,
27AAICM3930G1ZH,ID FRESH FOOD INDIA PRIVATE LIMITED,invoiceDate,dd/dd/dddd,551.0,833.0,962.0,525.0,3e606bd7-078d-4dfd-b101-2c27c65da305,09-08-2022,1,
27AAICK0704C1Z1,KISANKONNECT SAFE FOOD PRIVATE LIMITED,invoiceNumber,XXXX/dd-dd/ddd,514.0,4476.0,5269.0,410.0,63e1d5ae-7e70-461a-af0f-40f012034387,09-08-2022,1,
27AAICK0704C1Z1,KISANKONNECT SAFE FOOD PRIVATE LIMITED,invoiceDate,dd/dd/dddd,511.0,5519.0,6160.0,404.0,63e1d5ae-7e70-461a-af0f-40f012034387,09-08-2022,1,
27ANHPB9781F2ZR,KETAN ENTERPRISES,invoiceDate,dd/dd/dddd,481.0,1860.0,1992.0,445.0,b634bb27-4ec6-4f87-b3c5-32cbe6e4d0e8,09-08-2022,1,
27AAGOK0122N122,,invoiceNumber,dddd,315.0,1530.0,1613.0,282.0,e00d7dff-5598-4487-990c-b4b33f29bfab,09-08-2022,1,
27AAGOK0122N122,,invoiceDate,dd/dd/dddd,299.0,1980.0,2169.0,264.0,e00d7dff-5598-4487-990c-b4b33f29bfab,09-08-2022,1,
27AAAFZ5877G1ZO,ZORABIAN FOODS,invoiceNumber,Xdddd/dd-dd,492.0,1562.0,1799.0,458.0,51a45deb-3979-4b51-b4a9-abdb47a960ca,09-08-2022,1,
